f11, f12, f13, f14, C11H18N2 - D, C19H20O4 - E, C30H38O4N2 - DE, C41H56O4N4 - D2E, C49H58O8N2 - DE2, C68H78O12N2 - DE3, C79H96O12N4 - D2E3, Other - D0E0
50, 50, 0, 50, 2, 4, 0, 0, 0, 0, 0, 0
50, 50, 0, 100, 2, 4, 0, 0, 0, 0, 0, 0
50, 50, 0, 150, 2, 4, 0, 0, 0, 0, 0, 0
50, 100, 0, 50, 2, 4, 0, 0, 0, 0, 0, 0
50, 100, 0, 100, 2, 4, 0, 0, 0, 0, 0, 0
50, 100, 0, 150, 0, 2, 2, 0, 0, 0, 0, 0
50, 150, 0, 50, 2, 4, 0, 0, 0, 0, 0, 0
50, 150, 0, 100, 2, 4, 0, 0, 0, 0, 0, 0
50, 150, 0, 150, 0, 1, 1, 0, 1, 0, 0, 0
100, 50, 0, 50, 2, 4, 0, 0, 0, 0, 0, 0
100, 50, 0, 100, 2, 4, 0, 0, 0, 0, 0, 0
100, 50, 0, 150, 0, 2, 0, 0, 0, 0, 0, 3
100, 100, 0, 50, 2, 4, 0, 0, 0, 0, 0, 0
100, 100, 0, 100, 1, 2, 0, 0, 0, 0, 0, 2
100, 100, 0, 150, 0, 0, 0, 0, 0, 0, 0, 2
100, 150, 0, 50, 0, 1, 1, 0, 1, 0, 0, 0
100, 150, 0, 100, 0, 1, 0, 0, 0, 0, 0, 2
100, 150, 0, 150, 0, 0, 0, 0, 0, 0, 0, 6
150, 50, 0, 50, 0, 3, 0, 0, 0, 0, 0, 5
150, 50, 0, 100, 0, 1, 0, 0, 0, 0, 0, 3
150, 50, 0, 150, 0, 0, 0, 0, 0, 0, 0, 6
150, 100, 0, 50, 0, 1, 0, 0, 0, 0, 0, 6
150, 100, 0, 100, 0, 1, 0, 0, 0, 0, 1, 0
150, 100, 0, 150, 0, 0, 0, 0, 0, 0, 0, 7
150, 150, 0, 50, 0, 0, 0, 0, 0, 0, 0, 7
150, 150, 0, 100, 0, 0, 0, 0, 0, 0, 0, 4
150, 150, 0, 150, 0, 0, 0, 0, 0, 0, 0, 7
