Step,f11,f12,f13,f14,E1,D1E1,D2E2,D3E3,H2O,Other
400000, 100, 150, 0, 100, 1, 1, 1, 0, 0, 0
410000, 100, 150, 0, 100, 1, 1, 1, 0, 0, 0
420000, 100, 150, 0, 100, 1, 1, 1, 0, 0, 0
430000, 100, 150, 0, 100, 1, 1, 1, 0, 0, 0
440000, 100, 150, 0, 100, 1, 1, 1, 0, 0, 0
450000, 100, 150, 0, 100, 1, 1, 0, 1, 0, 0
460000, 100, 150, 0, 100, 1, 1, 0, 1, 0, 0
470000, 100, 150, 0, 100, 1, 1, 0, 1, 0, 0
480000, 100, 150, 0, 100, 1, 1, 0, 1, 0, 0
490000, 100, 150, 0, 100, 1, 1, 0, 1, 0, 0
500000, 100, 150, 0, 100, 1, 1, 0, 1, 0, 0
