Step,f11,f12,f13,f14,D1,E1,D1E2,D2E2,H2O,Other
400000, 150, 150, 0, 100, 1, 2, 1, 1, 4, 1
410000, 150, 150, 0, 100, 1, 2, 1, 1, 4, 1
420000, 150, 150, 0, 100, 1, 2, 1, 1, 4, 1
430000, 150, 150, 0, 100, 1, 2, 1, 1, 4, 1
440000, 150, 150, 0, 100, 1, 2, 1, 1, 4, 1
450000, 150, 150, 0, 100, 1, 2, 1, 1, 4, 1
460000, 150, 150, 0, 100, 1, 2, 1, 1, 4, 1
470000, 150, 150, 0, 100, 1, 2, 1, 1, 4, 1
480000, 150, 150, 0, 100, 1, 2, 1, 1, 4, 1
490000, 150, 150, 0, 100, 1, 2, 1, 1, 4, 1
500000, 150, 150, 0, 100, 1, 2, 1, 1, 4, 1
