Step,f11,f12,f13,f14,D1,E1,D1E2,D2E3,D2E4,D2E5,H2O,Other
400000, 50, 150, 0, 150, 2, 1, 2, 1, 0, 0, 0, 1
410000, 50, 150, 0, 150, 2, 1, 2, 1, 0, 0, 0, 1
420000, 50, 150, 0, 150, 2, 1, 2, 1, 0, 0, 0, 1
430000, 50, 150, 0, 150, 2, 1, 2, 1, 0, 0, 0, 1
440000, 50, 150, 0, 150, 2, 1, 2, 0, 1, 0, 0, 1
450000, 50, 150, 0, 150, 2, 1, 2, 0, 0, 1, 0, 1
460000, 50, 150, 0, 150, 2, 1, 2, 0, 1, 0, 0, 1
470000, 50, 150, 0, 150, 2, 1, 2, 0, 1, 0, 0, 1
480000, 50, 150, 0, 150, 2, 1, 2, 0, 1, 0, 0, 1
490000, 50, 150, 0, 150, 2, 1, 2, 0, 1, 0, 0, 1
500000, 50, 150, 0, 150, 2, 1, 2, 0, 1, 0, 0, 1
