Step,f11,f12,f13,f14,D1,E1,D1E1,D1E2,D6E11,H2O,Other
2400000, 50, 100, 0, 150, 1, 4, 1, 0, 1, 0, 0
2460000, 50, 100, 0, 150, 1, 4, 1, 0, 1, 0, 0
2520000, 50, 100, 0, 150, 1, 4, 1, 0, 1, 0, 0
2580000, 50, 100, 0, 150, 1, 3, 0, 1, 1, 0, 0
2640000, 50, 100, 0, 150, 1, 3, 0, 1, 1, 0, 0
2700000, 50, 100, 0, 150, 1, 3, 0, 1, 1, 0, 0
2760000, 50, 100, 0, 150, 1, 3, 0, 1, 1, 0, 0
2820000, 50, 100, 0, 150, 1, 4, 1, 0, 1, 0, 0
2880000, 50, 100, 0, 150, 1, 4, 1, 0, 1, 0, 0
2940000, 50, 100, 0, 150, 1, 3, 0, 1, 1, 0, 0
3000000, 50, 100, 0, 150, 1, 4, 1, 0, 1, 0, 0
