# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
1000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
2000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
3000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
4000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
5000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
6000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
7000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
8000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
9000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
10000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
11000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
12000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
13000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
14000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
15000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
16000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
17000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
18000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
19000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
20000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
21000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
22000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
23000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
24000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
25000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
26000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
27000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
28000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
29000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
30000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
31000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
32000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
33000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
34000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
35000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
36000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
37000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
38000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
39000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
40000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
41000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
42000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
43000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
44000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
45000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
46000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
47000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
48000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
49000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
50000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
51000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
52000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
53000          6          2	 4	 2	
# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
